"sac_train/steps","gentle-surf-19 - _step","gentle-surf-19 - _step__MIN","gentle-surf-19 - _step__MAX","gentle-surf-19 - sac_train/episode_return","gentle-surf-19 - sac_train/episode_return__MIN","gentle-surf-19 - sac_train/episode_return__MAX","vivid-river-17 - _step","vivid-river-17 - _step__MIN","vivid-river-17 - _step__MAX","vivid-river-17 - sac_train/episode_return","vivid-river-17 - sac_train/episode_return__MIN","vivid-river-17 - sac_train/episode_return__MAX","likely-lion-15 - _step","likely-lion-15 - _step__MIN","likely-lion-15 - _step__MAX","likely-lion-15 - sac_train/episode_return","likely-lion-15 - sac_train/episode_return__MIN","likely-lion-15 - sac_train/episode_return__MAX","gentle-rain-13 - _step","gentle-rain-13 - _step__MIN","gentle-rain-13 - _step__MAX","gentle-rain-13 - sac_train/episode_return","gentle-rain-13 - sac_train/episode_return__MIN","gentle-rain-13 - sac_train/episode_return__MAX","clean-bee-10 - _step","clean-bee-10 - _step__MIN","clean-bee-10 - _step__MAX","clean-bee-10 - sac_train/episode_return","clean-bee-10 - sac_train/episode_return__MIN","clean-bee-10 - sac_train/episode_return__MAX"
"25400","2665","2665","2665","-116.80605583652675","-116.80605583652675","-116.80605583652675","2665","2665","2665","-126.83928966308831","-126.83928966308831","-126.83928966308831","2665","2665","2665","-242.92249261158494","-242.92249261158494","-242.92249261158494","2665","2665","2665","-126.97530985061528","-126.97530985061528","-126.97530985061528","2665","2665","2665","-3.9826414663271414","-3.9826414663271414","-3.9826414663271414"
"25600","2686","2686","2686","-121.03715989832882","-121.03715989832882","-121.03715989832882","2686","2686","2686","-130.06288101315167","-130.06288101315167","-130.06288101315167","2686","2686","2686","-230.22421804936343","-230.22421804936343","-230.22421804936343","2686","2686","2686","-115.74899020687143","-115.74899020687143","-115.74899020687143","2686","2686","2686","-125.83191492467711","-125.83191492467711","-125.83191492467711"
"25800","2707","2707","2707","-0.6331370484125054","-0.6331370484125054","-0.6331370484125054","2707","2707","2707","-126.17363175909584","-126.17363175909584","-126.17363175909584","2707","2707","2707","-0.5018781988667514","-0.5018781988667514","-0.5018781988667514","2707","2707","2707","-243.4085613746128","-243.4085613746128","-243.4085613746128","2707","2707","2707","-121.27599808006225","-121.27599808006225","-121.27599808006225"
"26000","2728","2728","2728","-126.86730204892905","-126.86730204892905","-126.86730204892905","2728","2728","2728","-121.33926382806196","-121.33926382806196","-121.33926382806196","2728","2728","2728","-0.9100536498728752","-0.9100536498728752","-0.9100536498728752","2728","2728","2728","-233.8857778276527","-233.8857778276527","-233.8857778276527","2728","2728","2728","-249.30598094110258","-249.30598094110258","-249.30598094110258"
"26200","2749","2749","2749","-222.45805329732482","-222.45805329732482","-222.45805329732482","2749","2749","2749","-118.09084112565829","-118.09084112565829","-118.09084112565829","2749","2749","2749","-124.72562820274143","-124.72562820274143","-124.72562820274143","2749","2749","2749","-2.95022004646783","-2.95022004646783","-2.95022004646783","2749","2749","2749","-121.80833634306367","-121.80833634306367","-121.80833634306367"
"26400","2770","2770","2770","-126.84667788562703","-126.84667788562703","-126.84667788562703","2770","2770","2770","-128.32083930205297","-128.32083930205297","-128.32083930205297","2770","2770","2770","-344.7470514449719","-344.7470514449719","-344.7470514449719","2770","2770","2770","-2.7361633036610855","-2.7361633036610855","-2.7361633036610855","2770","2770","2770","-122.06977991544088","-122.06977991544088","-122.06977991544088"
"26600","2791","2791","2791","-233.55338830656615","-233.55338830656615","-233.55338830656615","2791","2791","2791","-129.25573707501607","-129.25573707501607","-129.25573707501607","2791","2791","2791","-122.23846602025505","-122.23846602025505","-122.23846602025505","2791","2791","2791","-3.2691083597495263","-3.2691083597495263","-3.2691083597495263","2791","2791","2791","-126.78016528478928","-126.78016528478928","-126.78016528478928"
"26800","2812","2812","2812","-123.09564345184424","-123.09564345184424","-123.09564345184424","2812","2812","2812","-120.77641001513204","-120.77641001513204","-120.77641001513204","2812","2812","2812","-119.80936097127471","-119.80936097127471","-119.80936097127471","2812","2812","2812","-124.94880834781081","-124.94880834781081","-124.94880834781081","2812","2812","2812","-126.05390831067591","-126.05390831067591","-126.05390831067591"
"27000","2833","2833","2833","-0.2061646507778798","-0.2061646507778798","-0.2061646507778798","2833","2833","2833","-243.24182826093696","-243.24182826093696","-243.24182826093696","2833","2833","2833","-125.11227760480017","-125.11227760480017","-125.11227760480017","2833","2833","2833","-119.64832414379386","-119.64832414379386","-119.64832414379386","2833","2833","2833","-116.91945221300215","-116.91945221300215","-116.91945221300215"
"27200","2854","2854","2854","-123.42654753456702","-123.42654753456702","-123.42654753456702","2854","2854","2854","-125.54519579941179","-125.54519579941179","-125.54519579941179","2854","2854","2854","-122.76074699127537","-122.76074699127537","-122.76074699127537","2854","2854","2854","-242.2576752099159","-242.2576752099159","-242.2576752099159","2854","2854","2854","-365.8245785561527","-365.8245785561527","-365.8245785561527"
"27400","2875","2875","2875","-114.77352059546693","-114.77352059546693","-114.77352059546693","2875","2875","2875","-125.48395212354009","-125.48395212354009","-125.48395212354009","2875","2875","2875","-245.8449802209161","-245.8449802209161","-245.8449802209161","2875","2875","2875","-120.44715028323294","-120.44715028323294","-120.44715028323294","2875","2875","2875","-120.46410313402333","-120.46410313402333","-120.46410313402333"
"27600","2896","2896","2896","-1.053375756506349","-1.053375756506349","-1.053375756506349","2896","2896","2896","-124.74624298058514","-124.74624298058514","-124.74624298058514","2896","2896","2896","-242.82641086660738","-242.82641086660738","-242.82641086660738","2896","2896","2896","-124.0425880058125","-124.0425880058125","-124.0425880058125","2896","2896","2896","-122.2778167908847","-122.2778167908847","-122.2778167908847"
"27800","2917","2917","2917","-337.3147385339535","-337.3147385339535","-337.3147385339535","2917","2917","2917","-238.10271988519543","-238.10271988519543","-238.10271988519543","2917","2917","2917","-238.49823932525263","-238.49823932525263","-238.49823932525263","2917","2917","2917","-122.57608311725907","-122.57608311725907","-122.57608311725907","2917","2917","2917","-117.0648115661384","-117.0648115661384","-117.0648115661384"
"28000","2938","2938","2938","-123.19692645473505","-123.19692645473505","-123.19692645473505","2938","2938","2938","-233.6371167248032","-233.6371167248032","-233.6371167248032","2938","2938","2938","-118.11838679488105","-118.11838679488105","-118.11838679488105","2938","2938","2938","-123.00399894578945","-123.00399894578945","-123.00399894578945","2938","2938","2938","-116.61812568838563","-116.61812568838563","-116.61812568838563"
"28200","2959","2959","2959","-122.4353640795388","-122.4353640795388","-122.4353640795388","2959","2959","2959","-8.264518527431711","-8.264518527431711","-8.264518527431711","2959","2959","2959","-239.73441315883687","-239.73441315883687","-239.73441315883687","2959","2959","2959","-3.2692020816773475","-3.2692020816773475","-3.2692020816773475","2959","2959","2959","-118.09392710917001","-118.09392710917001","-118.09392710917001"
"28400","2980","2980","2980","-232.8303054699811","-232.8303054699811","-232.8303054699811","2980","2980","2980","-127.38581381604072","-127.38581381604072","-127.38581381604072","2980","2980","2980","-122.58403214976317","-122.58403214976317","-122.58403214976317","2980","2980","2980","-125.57674330542828","-125.57674330542828","-125.57674330542828","2980","2980","2980","-123.03520686714809","-123.03520686714809","-123.03520686714809"
"28600","3001","3001","3001","-126.28959427119867","-126.28959427119867","-126.28959427119867","3001","3001","3001","-125.04430963507839","-125.04430963507839","-125.04430963507839","3001","3001","3001","-122.2297601372192","-122.2297601372192","-122.2297601372192","3001","3001","3001","-242.47401782338966","-242.47401782338966","-242.47401782338966","3001","3001","3001","-0.5593328916078238","-0.5593328916078238","-0.5593328916078238"
"28800","3022","3022","3022","-120.80690524366733","-120.80690524366733","-120.80690524366733","3022","3022","3022","-123.57051841408396","-123.57051841408396","-123.57051841408396","3022","3022","3022","-1.1412113186876","-1.1412113186876","-1.1412113186876","3022","3022","3022","-230.68045286370477","-230.68045286370477","-230.68045286370477","3022","3022","3022","-122.49450332068841","-122.49450332068841","-122.49450332068841"
"29000","3043","3043","3043","-238.75017260617813","-238.75017260617813","-238.75017260617813","3043","3043","3043","-130.48919931275947","-130.48919931275947","-130.48919931275947","3043","3043","3043","-241.74128757177692","-241.74128757177692","-241.74128757177692","3043","3043","3043","-117.02222833920294","-117.02222833920294","-117.02222833920294","3043","3043","3043","-120.02079432110683","-120.02079432110683","-120.02079432110683"
"29200","3064","3064","3064","-116.52161883183881","-116.52161883183881","-116.52161883183881","3064","3064","3064","-368.2342997245887","-368.2342997245887","-368.2342997245887","3064","3064","3064","-4.230664161864424","-4.230664161864424","-4.230664161864424","3064","3064","3064","-236.08601962592104","-236.08601962592104","-236.08601962592104","3064","3064","3064","-1.4841365842951464","-1.4841365842951464","-1.4841365842951464"
"29400","3085","3085","3085","-122.94415411851898","-122.94415411851898","-122.94415411851898","3085","3085","3085","-4.600350581255688","-4.600350581255688","-4.600350581255688","3085","3085","3085","-123.51991692278649","-123.51991692278649","-123.51991692278649","3085","3085","3085","-121.83565188381098","-121.83565188381098","-121.83565188381098","3085","3085","3085","-237.4197077063567","-237.4197077063567","-237.4197077063567"
"29600","3106","3106","3106","-223.57647229520654","-223.57647229520654","-223.57647229520654","3106","3106","3106","-128.8933174207013","-128.8933174207013","-128.8933174207013","3106","3106","3106","-117.32174564700072","-117.32174564700072","-117.32174564700072","3106","3106","3106","-117.20853672480199","-117.20853672480199","-117.20853672480199","3106","3106","3106","-0.7932372643044151","-0.7932372643044151","-0.7932372643044151"
"29800","3127","3127","3127","-301.238055116121","-301.238055116121","-301.238055116121","3127","3127","3127","-5.198346671573704","-5.198346671573704","-5.198346671573704","3127","3127","3127","-340.30808090632706","-340.30808090632706","-340.30808090632706","3127","3127","3127","-231.13498935320237","-231.13498935320237","-231.13498935320237","3127","3127","3127","-119.64162091958389","-119.64162091958389","-119.64162091958389"
"30000","3148","3148","3148","-234.70659885857532","-234.70659885857532","-234.70659885857532","3148","3148","3148","-6.185990045454842","-6.185990045454842","-6.185990045454842","3148","3148","3148","-238.22487247698578","-238.22487247698578","-238.22487247698578","3148","3148","3148","-0.772698685895348","-0.772698685895348","-0.772698685895348","3148","3148","3148","-232.46061575617193","-232.46061575617193","-232.46061575617193"
"30200","3169","3169","3169","-318.93018404797846","-318.93018404797846","-318.93018404797846","3169","3169","3169","-127.41503617516724","-127.41503617516724","-127.41503617516724","3169","3169","3169","-226.90529300746852","-226.90529300746852","-226.90529300746852","3169","3169","3169","-123.59340054853347","-123.59340054853347","-123.59340054853347","3169","3169","3169","-125.22598883371641","-125.22598883371641","-125.22598883371641"
"30400","3190","3190","3190","-229.06737548426142","-229.06737548426142","-229.06737548426142","3190","3190","3190","-118.25388993951802","-118.25388993951802","-118.25388993951802","3190","3190","3190","-116.36106418605317","-116.36106418605317","-116.36106418605317","3190","3190","3190","-118.8937160427219","-118.8937160427219","-118.8937160427219","3190","3190","3190","-121.7310940313497","-121.7310940313497","-121.7310940313497"
"30600","3211","3211","3211","-126.30705372942168","-126.30705372942168","-126.30705372942168","3211","3211","3211","-240.33951378074215","-240.33951378074215","-240.33951378074215","3211","3211","3211","-241.9697626680353","-241.9697626680353","-241.9697626680353","3211","3211","3211","-119.6574507710398","-119.6574507710398","-119.6574507710398","3211","3211","3211","-1.2446130176512937","-1.2446130176512937","-1.2446130176512937"
"30800","3232","3232","3232","-237.90021989968292","-237.90021989968292","-237.90021989968292","3232","3232","3232","-244.6041371802055","-244.6041371802055","-244.6041371802055","3232","3232","3232","-122.14508680148286","-122.14508680148286","-122.14508680148286","3232","3232","3232","-242.8465028060187","-242.8465028060187","-242.8465028060187","3232","3232","3232","-121.59493073587284","-121.59493073587284","-121.59493073587284"
"31000","3253","3253","3253","-115.72005888161432","-115.72005888161432","-115.72005888161432","3253","3253","3253","-129.55601228687408","-129.55601228687408","-129.55601228687408","3253","3253","3253","-123.30581330871368","-123.30581330871368","-123.30581330871368","3253","3253","3253","-120.42955751580332","-120.42955751580332","-120.42955751580332","3253","3253","3253","-121.67345146129159","-121.67345146129159","-121.67345146129159"
"31200","3274","3274","3274","-1.298534054959091","-1.298534054959091","-1.298534054959091","3274","3274","3274","-129.93046976697184","-129.93046976697184","-129.93046976697184","3274","3274","3274","-124.1793052904952","-124.1793052904952","-124.1793052904952","3274","3274","3274","-263.5133938776215","-263.5133938776215","-263.5133938776215","3274","3274","3274","-220.97713501254125","-220.97713501254125","-220.97713501254125"
"31400","3295","3295","3295","-126.75017607158483","-126.75017607158483","-126.75017607158483","3295","3295","3295","-4.946789125494874","-4.946789125494874","-4.946789125494874","3295","3295","3295","-231.68499532962497","-231.68499532962497","-231.68499532962497","3295","3295","3295","-285.1410950258999","-285.1410950258999","-285.1410950258999","3295","3295","3295","-118.24089531827225","-118.24089531827225","-118.24089531827225"
"31600","3316","3316","3316","-2.348555287291067","-2.348555287291067","-2.348555287291067","3316","3316","3316","-125.76918180018264","-125.76918180018264","-125.76918180018264","3316","3316","3316","-1.1766459471348285","-1.1766459471348285","-1.1766459471348285","3316","3316","3316","-125.94568625771562","-125.94568625771562","-125.94568625771562","3316","3316","3316","-121.16416834478314","-121.16416834478314","-121.16416834478314"
"31800","3337","3337","3337","-1.1737023066750025","-1.1737023066750025","-1.1737023066750025","3337","3337","3337","-247.25830323142173","-247.25830323142173","-247.25830323142173","3337","3337","3337","-121.51904619642225","-121.51904619642225","-121.51904619642225","3337","3337","3337","-230.92258812067735","-230.92258812067735","-230.92258812067735","3337","3337","3337","-7.551475575029067","-7.551475575029067","-7.551475575029067"
"32000","3358","3358","3358","-120.5344114373246","-120.5344114373246","-120.5344114373246","3358","3358","3358","-228.37544158687948","-228.37544158687948","-228.37544158687948","3358","3358","3358","-1.4336050030806435","-1.4336050030806435","-1.4336050030806435","3358","3358","3358","-240.01113394954902","-240.01113394954902","-240.01113394954902","3358","3358","3358","-243.71368514909545","-243.71368514909545","-243.71368514909545"
"32200","3379","3379","3379","-126.9766588024903","-126.9766588024903","-126.9766588024903","3379","3379","3379","-238.20953296288113","-238.20953296288113","-238.20953296288113","3379","3379","3379","-124.11011456723638","-124.11011456723638","-124.11011456723638","3379","3379","3379","-231.2421711775112","-231.2421711775112","-231.2421711775112","3379","3379","3379","-117.37699518380431","-117.37699518380431","-117.37699518380431"
"32400","3400","3400","3400","-232.5743046981244","-232.5743046981244","-232.5743046981244","3400","3400","3400","-337.95650186526984","-337.95650186526984","-337.95650186526984","3400","3400","3400","-238.54707343234125","-238.54707343234125","-238.54707343234125","3400","3400","3400","-130.77033534763072","-130.77033534763072","-130.77033534763072","3400","3400","3400","-118.48378094647298","-118.48378094647298","-118.48378094647298"
"32600","3421","3421","3421","-227.73903889648201","-227.73903889648201","-227.73903889648201","3421","3421","3421","-129.39731045946033","-129.39731045946033","-129.39731045946033","3421","3421","3421","-244.63278362057216","-244.63278362057216","-244.63278362057216","3421","3421","3421","-124.16802904584242","-124.16802904584242","-124.16802904584242","3421","3421","3421","-222.35836054671097","-222.35836054671097","-222.35836054671097"
"32800","3442","3442","3442","-127.23905887244865","-127.23905887244865","-127.23905887244865","3442","3442","3442","-246.7760573433255","-246.7760573433255","-246.7760573433255","3442","3442","3442","-245.17664732755023","-245.17664732755023","-245.17664732755023","3442","3442","3442","-124.51407651034548","-124.51407651034548","-124.51407651034548","3442","3442","3442","-124.73524021065052","-124.73524021065052","-124.73524021065052"
"33000","3463","3463","3463","-125.11445203570504","-125.11445203570504","-125.11445203570504","3463","3463","3463","-4.463932613973509","-4.463932613973509","-4.463932613973509","3463","3463","3463","-238.83575640568176","-238.83575640568176","-238.83575640568176","3463","3463","3463","-124.27136310639322","-124.27136310639322","-124.27136310639322","3463","3463","3463","-250.19821792884176","-250.19821792884176","-250.19821792884176"
"33200","3484","3484","3484","-225.3710936768994","-225.3710936768994","-225.3710936768994","3484","3484","3484","-122.7468567448849","-122.7468567448849","-122.7468567448849","3484","3484","3484","-233.20286516288485","-233.20286516288485","-233.20286516288485","3484","3484","3484","-123.83618455879385","-123.83618455879385","-123.83618455879385","3484","3484","3484","-118.12440721077081","-118.12440721077081","-118.12440721077081"
"33400","3505","3505","3505","-127.80087055899503","-127.80087055899503","-127.80087055899503","3505","3505","3505","-119.3014430256575","-119.3014430256575","-119.3014430256575","3505","3505","3505","-123.6659949746052","-123.6659949746052","-123.6659949746052","3505","3505","3505","-231.05896371459497","-231.05896371459497","-231.05896371459497","3505","3505","3505","-232.6917600812165","-232.6917600812165","-232.6917600812165"
"33600","3526","3526","3526","-114.427584080757","-114.427584080757","-114.427584080757","3526","3526","3526","-124.81855851285293","-124.81855851285293","-124.81855851285293","3526","3526","3526","-124.25329785666857","-124.25329785666857","-124.25329785666857","3526","3526","3526","-121.15097118190826","-121.15097118190826","-121.15097118190826","3526","3526","3526","-120.6552767238163","-120.6552767238163","-120.6552767238163"
"33800","3547","3547","3547","-229.82028301729937","-229.82028301729937","-229.82028301729937","3547","3547","3547","-235.58177230204777","-235.58177230204777","-235.58177230204777","3547","3547","3547","-116.96480608614586","-116.96480608614586","-116.96480608614586","3547","3547","3547","-236.1290072969685","-236.1290072969685","-236.1290072969685","3547","3547","3547","-122.61192430645211","-122.61192430645211","-122.61192430645211"
"34000","3568","3568","3568","-116.43454987344667","-116.43454987344667","-116.43454987344667","3568","3568","3568","-132.379987931347","-132.379987931347","-132.379987931347","3568","3568","3568","-241.3336776197455","-241.3336776197455","-241.3336776197455","3568","3568","3568","-244.5804647367285","-244.5804647367285","-244.5804647367285","3568","3568","3568","-241.71757239845707","-241.71757239845707","-241.71757239845707"
"34200","3589","3589","3589","-116.84866018523212","-116.84866018523212","-116.84866018523212","3589","3589","3589","-122.80570445705477","-122.80570445705477","-122.80570445705477","3589","3589","3589","-227.720018911167","-227.720018911167","-227.720018911167","3589","3589","3589","-352.9836882287713","-352.9836882287713","-352.9836882287713","3589","3589","3589","-123.36796871016634","-123.36796871016634","-123.36796871016634"
"34400","3610","3610","3610","-115.89703528238365","-115.89703528238365","-115.89703528238365","3610","3610","3610","-248.4813608551648","-248.4813608551648","-248.4813608551648","3610","3610","3610","-122.72226446572971","-122.72226446572971","-122.72226446572971","3610","3610","3610","-7.843402182934753","-7.843402182934753","-7.843402182934753","3610","3610","3610","-234.44391440697711","-234.44391440697711","-234.44391440697711"
"34600","3631","3631","3631","-118.04238725611887","-118.04238725611887","-118.04238725611887","3631","3631","3631","-246.76966399405708","-246.76966399405708","-246.76966399405708","3631","3631","3631","-125.4155270308111","-125.4155270308111","-125.4155270308111","3631","3631","3631","-121.30046354394827","-121.30046354394827","-121.30046354394827","3631","3631","3631","-129.19700141886358","-129.19700141886358","-129.19700141886358"
"34800","3652","3652","3652","-126.01828142285372","-126.01828142285372","-126.01828142285372","3652","3652","3652","-242.8009379322982","-242.8009379322982","-242.8009379322982","3652","3652","3652","-125.0112721095917","-125.0112721095917","-125.0112721095917","3652","3652","3652","-125.32228387515201","-125.32228387515201","-125.32228387515201","3652","3652","3652","-118.39016263257807","-118.39016263257807","-118.39016263257807"
"35000","3673","3673","3673","-120.57083005343533","-120.57083005343533","-120.57083005343533","3673","3673","3673","-368.2727333764172","-368.2727333764172","-368.2727333764172","3673","3673","3673","-1.9857003386072485","-1.9857003386072485","-1.9857003386072485","3673","3673","3673","-120.58418025080913","-120.58418025080913","-120.58418025080913","3673","3673","3673","-230.4966544230036","-230.4966544230036","-230.4966544230036"
"35200","3694","3694","3694","-118.20468226759158","-118.20468226759158","-118.20468226759158","3694","3694","3694","-368.0731395439263","-368.0731395439263","-368.0731395439263","3694","3694","3694","-2.838296396154816","-2.838296396154816","-2.838296396154816","3694","3694","3694","-242.85112973053305","-242.85112973053305","-242.85112973053305","3694","3694","3694","-231.38897200785624","-231.38897200785624","-231.38897200785624"
"35400","3715","3715","3715","-114.18034543994891","-114.18034543994891","-114.18034543994891","3715","3715","3715","-125.42260921457982","-125.42260921457982","-125.42260921457982","3715","3715","3715","-119.05518950786174","-119.05518950786174","-119.05518950786174","3715","3715","3715","-123.37402875555007","-123.37402875555007","-123.37402875555007","3715","3715","3715","-121.10816765939161","-121.10816765939161","-121.10816765939161"
"35600","3736","3736","3736","-324.76077309187815","-324.76077309187815","-324.76077309187815","3736","3736","3736","-249.087226316192","-249.087226316192","-249.087226316192","3736","3736","3736","-313.57313409335745","-313.57313409335745","-313.57313409335745","3736","3736","3736","-121.82084143710308","-121.82084143710308","-121.82084143710308","3736","3736","3736","-121.01830103326382","-121.01830103326382","-121.01830103326382"
"35800","3757","3757","3757","-122.8734092747655","-122.8734092747655","-122.8734092747655","3757","3757","3757","-129.86497019883714","-129.86497019883714","-129.86497019883714","3757","3757","3757","-353.5621755635432","-353.5621755635432","-353.5621755635432","3757","3757","3757","-130.14855975921785","-130.14855975921785","-130.14855975921785","3757","3757","3757","-118.73770477201124","-118.73770477201124","-118.73770477201124"
"36000","3778","3778","3778","-323.91403064793735","-323.91403064793735","-323.91403064793735","3778","3778","3778","-122.77990530123269","-122.77990530123269","-122.77990530123269","3778","3778","3778","-2.643722337843739","-2.643722337843739","-2.643722337843739","3778","3778","3778","-245.4254453408261","-245.4254453408261","-245.4254453408261","3778","3778","3778","-123.07260080953024","-123.07260080953024","-123.07260080953024"
"36200","3799","3799","3799","-228.3677858279733","-228.3677858279733","-228.3677858279733","3799","3799","3799","-121.6717530283659","-121.6717530283659","-121.6717530283659","3799","3799","3799","-116.58927859327468","-116.58927859327468","-116.58927859327468","3799","3799","3799","-127.49795428244802","-127.49795428244802","-127.49795428244802","3799","3799","3799","-116.14020632205074","-116.14020632205074","-116.14020632205074"
"36400","3820","3820","3820","-1.4931783387666864","-1.4931783387666864","-1.4931783387666864","3820","3820","3820","-5.473791109344821","-5.473791109344821","-5.473791109344821","3820","3820","3820","-122.44999039275432","-122.44999039275432","-122.44999039275432","3820","3820","3820","-228.7546763121684","-228.7546763121684","-228.7546763121684","3820","3820","3820","-128.2947381031656","-128.2947381031656","-128.2947381031656"
"36600","3841","3841","3841","-119.24518403159617","-119.24518403159617","-119.24518403159617","3841","3841","3841","-125.32109002004765","-125.32109002004765","-125.32109002004765","3841","3841","3841","-117.48669232094207","-117.48669232094207","-117.48669232094207","3841","3841","3841","-329.8384986158956","-329.8384986158956","-329.8384986158956","3841","3841","3841","-118.75771629395929","-118.75771629395929","-118.75771629395929"
"36800","3862","3862","3862","-116.44254480269323","-116.44254480269323","-116.44254480269323","3862","3862","3862","-120.1067807317863","-120.1067807317863","-120.1067807317863","3862","3862","3862","-126.8312086282673","-126.8312086282673","-126.8312086282673","3862","3862","3862","-121.01733312311711","-121.01733312311711","-121.01733312311711","3862","3862","3862","-1.7529839410001964","-1.7529839410001964","-1.7529839410001964"
"37000","3883","3883","3883","-127.1786153174669","-127.1786153174669","-127.1786153174669","3883","3883","3883","-240.36158123107634","-240.36158123107634","-240.36158123107634","3883","3883","3883","-230.24551934504362","-230.24551934504362","-230.24551934504362","3883","3883","3883","-226.3567214815095","-226.3567214815095","-226.3567214815095","3883","3883","3883","-119.83920173950855","-119.83920173950855","-119.83920173950855"
"37200","3904","3904","3904","-114.7660886744746","-114.7660886744746","-114.7660886744746","3904","3904","3904","-326.8720553469608","-326.8720553469608","-326.8720553469608","3904","3904","3904","-3.0595108138601397","-3.0595108138601397","-3.0595108138601397","3904","3904","3904","-130.64353477619335","-130.64353477619335","-130.64353477619335","3904","3904","3904","-123.47763005960664","-123.47763005960664","-123.47763005960664"
"37400","3925","3925","3925","-124.24357516069908","-124.24357516069908","-124.24357516069908","3925","3925","3925","-232.82268037881494","-232.82268037881494","-232.82268037881494","3925","3925","3925","-125.02667909318373","-125.02667909318373","-125.02667909318373","3925","3925","3925","-230.20474178169974","-230.20474178169974","-230.20474178169974","3925","3925","3925","-122.69480507405343","-122.69480507405343","-122.69480507405343"
"37600","3946","3946","3946","-3.188179587500124","-3.188179587500124","-3.188179587500124","3946","3946","3946","-128.77517459145383","-128.77517459145383","-128.77517459145383","3946","3946","3946","-120.806705026139","-120.806705026139","-120.806705026139","3946","3946","3946","-121.50490238950604","-121.50490238950604","-121.50490238950604","3946","3946","3946","-114.68610297273898","-114.68610297273898","-114.68610297273898"
"37800","3967","3967","3967","-127.6615419118511","-127.6615419118511","-127.6615419118511","3967","3967","3967","-125.84415295498377","-125.84415295498377","-125.84415295498377","3967","3967","3967","-2.4521626919403383","-2.4521626919403383","-2.4521626919403383","3967","3967","3967","-120.45830343983492","-120.45830343983492","-120.45830343983492","3967","3967","3967","-0.7585611673019881","-0.7585611673019881","-0.7585611673019881"
"38000","3988","3988","3988","-115.46987811301797","-115.46987811301797","-115.46987811301797","3988","3988","3988","-4.773500045667864","-4.773500045667864","-4.773500045667864","3988","3988","3988","-116.83155327357946","-116.83155327357946","-116.83155327357946","3988","3988","3988","-302.9015144575302","-302.9015144575302","-302.9015144575302","3988","3988","3988","-121.10216208000347","-121.10216208000347","-121.10216208000347"
"38200","4009","4009","4009","-343.10920214653254","-343.10920214653254","-343.10920214653254","4009","4009","4009","-225.15017187390478","-225.15017187390478","-225.15017187390478","4009","4009","4009","-115.73443178484132","-115.73443178484132","-115.73443178484132","4009","4009","4009","-128.26413638686583","-128.26413638686583","-128.26413638686583","4009","4009","4009","-275.6691788157442","-275.6691788157442","-275.6691788157442"
"38400","4030","4030","4030","-126.48333878644186","-126.48333878644186","-126.48333878644186","4030","4030","4030","-229.59524039234583","-229.59524039234583","-229.59524039234583","4030","4030","4030","-118.34118053908033","-118.34118053908033","-118.34118053908033","4030","4030","4030","-251.5188753264582","-251.5188753264582","-251.5188753264582","4030","4030","4030","-362.2283200806698","-362.2283200806698","-362.2283200806698"
"38600","4051","4051","4051","-128.5239846673962","-128.5239846673962","-128.5239846673962","4051","4051","4051","-119.04107995190697","-119.04107995190697","-119.04107995190697","4051","4051","4051","-121.22959292476224","-121.22959292476224","-121.22959292476224","4051","4051","4051","-122.53726334969646","-122.53726334969646","-122.53726334969646","4051","4051","4051","-229.47661427822646","-229.47661427822646","-229.47661427822646"
"38800","4072","4072","4072","-121.88515812850338","-121.88515812850338","-121.88515812850338","4072","4072","4072","-4.971133485905121","-4.971133485905121","-4.971133485905121","4072","4072","4072","-126.55529112956312","-126.55529112956312","-126.55529112956312","4072","4072","4072","-348.18997755302814","-348.18997755302814","-348.18997755302814","4072","4072","4072","-118.97596421568656","-118.97596421568656","-118.97596421568656"
"39000","4093","4093","4093","-126.39514941627264","-126.39514941627264","-126.39514941627264","4093","4093","4093","-129.331081177539","-129.331081177539","-129.331081177539","4093","4093","4093","-244.9825530233017","-244.9825530233017","-244.9825530233017","4093","4093","4093","-237.8060337031045","-237.8060337031045","-237.8060337031045","4093","4093","4093","-116.60839445712121","-116.60839445712121","-116.60839445712121"
"39200","4114","4114","4114","-121.67516418317098","-121.67516418317098","-121.67516418317098","4114","4114","4114","-126.53679619917486","-126.53679619917486","-126.53679619917486","4114","4114","4114","-2.2870002322542833","-2.2870002322542833","-2.2870002322542833","4114","4114","4114","-119.74309656276276","-119.74309656276276","-119.74309656276276","4114","4114","4114","-298.22703382078174","-298.22703382078174","-298.22703382078174"
"39400","4135","4135","4135","-358.8296940609491","-358.8296940609491","-358.8296940609491","4135","4135","4135","-119.62809410150008","-119.62809410150008","-119.62809410150008","4135","4135","4135","-4.581324943297628","-4.581324943297628","-4.581324943297628","4135","4135","4135","-118.39545931079971","-118.39545931079971","-118.39545931079971","4135","4135","4135","-249.88081828000765","-249.88081828000765","-249.88081828000765"
"39600","4156","4156","4156","-120.69691682222692","-120.69691682222692","-120.69691682222692","4156","4156","4156","-127.09753894731293","-127.09753894731293","-127.09753894731293","4156","4156","4156","-121.545766725197","-121.545766725197","-121.545766725197","4156","4156","4156","-231.66546869137142","-231.66546869137142","-231.66546869137142","4156","4156","4156","-335.2942852777516","-335.2942852777516","-335.2942852777516"
