"sac_train/steps","divine-grass-171 - _step","divine-grass-171 - _step__MIN","divine-grass-171 - _step__MAX","divine-grass-171 - sac_train/episode_return","divine-grass-171 - sac_train/episode_return__MIN","divine-grass-171 - sac_train/episode_return__MAX","denim-leaf-172 - _step","denim-leaf-172 - _step__MIN","denim-leaf-172 - _step__MAX","denim-leaf-172 - sac_train/episode_return","denim-leaf-172 - sac_train/episode_return__MIN","denim-leaf-172 - sac_train/episode_return__MAX","firm-feather-173 - _step","firm-feather-173 - _step__MIN","firm-feather-173 - _step__MAX","firm-feather-173 - sac_train/episode_return","firm-feather-173 - sac_train/episode_return__MIN","firm-feather-173 - sac_train/episode_return__MAX"
"245877","1961","1961","1961","-95.14448205768672","-95.14448205768672","-95.14448205768672","1961","1961","1961","-65.79220104668072","-65.79220104668072","-65.79220104668072","1961","1961","1961","-136.00665276581046","-136.00665276581046","-136.00665276581046"
"247876","1977","1977","1977","-129.80651302212334","-129.80651302212334","-129.80651302212334","1977","1977","1977","-78.49582718119598","-78.49582718119598","-78.49582718119598","1977","1977","1977","-96.07969103324118","-96.07969103324118","-96.07969103324118"
"249875","1993","1993","1993","-120.57592976284946","-120.57592976284946","-120.57592976284946","1993","1993","1993","-69.90835633073077","-69.90835633073077","-69.90835633073077","1993","1993","1993","-84.06438281847171","-84.06438281847171","-84.06438281847171"
"251874","2009","2009","2009","-118.48727521562746","-118.48727521562746","-118.48727521562746","2009","2009","2009","-63.05596291786822","-63.05596291786822","-63.05596291786822","2009","2009","2009","-63.82309309587254","-63.82309309587254","-63.82309309587254"
"253873","2025","2025","2025","-116.09510362984875","-116.09510362984875","-116.09510362984875","2025","2025","2025","-106.69268441811488","-106.69268441811488","-106.69268441811488","2025","2025","2025","-106.96234037460081","-106.96234037460081","-106.96234037460081"
"255872","2041","2041","2041","-138.59167158580203","-138.59167158580203","-138.59167158580203","2041","2041","2041","-182.4453167872132","-182.4453167872132","-182.4453167872132","2041","2041","2041","-83.68459686846167","-83.68459686846167","-83.68459686846167"
"257871","2057","2057","2057","-76.01444627214842","-76.01444627214842","-76.01444627214842","2057","2057","2057","-166.36098977052905","-166.36098977052905","-166.36098977052905","2057","2057","2057","-129.41383396701093","-129.41383396701093","-129.41383396701093"
"259870","2073","2073","2073","-149.8205034853889","-149.8205034853889","-149.8205034853889","2073","2073","2073","-116.84122923991296","-116.84122923991296","-116.84122923991296","2073","2073","2073","-155.5568131855198","-155.5568131855198","-155.5568131855198"
"261869","2089","2089","2089","-105.32526291121395","-105.32526291121395","-105.32526291121395","2089","2089","2089","-122.83857171238601","-122.83857171238601","-122.83857171238601","2089","2089","2089","-160.75869040926622","-160.75869040926622","-160.75869040926622"
"263868","2105","2105","2105","-150.98690316679705","-150.98690316679705","-150.98690316679705","2105","2105","2105","-64.44847974628698","-64.44847974628698","-64.44847974628698","2105","2105","2105","-139.16902829047092","-139.16902829047092","-139.16902829047092"
"265867","2121","2121","2121","-110.29870535394849","-110.29870535394849","-110.29870535394849","2121","2121","2121","-164.12144594409278","-164.12144594409278","-164.12144594409278","2121","2121","2121","-92.02951082195149","-92.02951082195149","-92.02951082195149"
"267866","2137","2137","2137","-161.61419992160123","-161.61419992160123","-161.61419992160123","2137","2137","2137","-75.64162077035407","-75.64162077035407","-75.64162077035407","2137","2137","2137","-101.28381069747743","-101.28381069747743","-101.28381069747743"
"269865","2153","2153","2153","-118.13330353124184","-118.13330353124184","-118.13330353124184","2153","2153","2153","-125.75324206549017","-125.75324206549017","-125.75324206549017","2153","2153","2153","-80.59389229269732","-80.59389229269732","-80.59389229269732"
"271864","2169","2169","2169","-124.22960420961917","-124.22960420961917","-124.22960420961917","2169","2169","2169","-152.68596475733713","-152.68596475733713","-152.68596475733713","2169","2169","2169","-141.65783917232218","-141.65783917232218","-141.65783917232218"
"273863","2185","2185","2185","-184.45537958985943","-184.45537958985943","-184.45537958985943","2185","2185","2185","-184.45079049932824","-184.45079049932824","-184.45079049932824","2185","2185","2185","-83.91997056692375","-83.91997056692375","-83.91997056692375"
"275862","2201","2201","2201","-116.21278678905168","-116.21278678905168","-116.21278678905168","2201","2201","2201","-135.21307078201087","-135.21307078201087","-135.21307078201087","2201","2201","2201","-102.51479588999197","-102.51479588999197","-102.51479588999197"
"277861","2217","2217","2217","-97.99782281769663","-97.99782281769663","-97.99782281769663","2217","2217","2217","-159.38089356960646","-159.38089356960646","-159.38089356960646","2217","2217","2217","-158.3629759623071","-158.3629759623071","-158.3629759623071"
"279860","2233","2233","2233","-117.14364693603652","-117.14364693603652","-117.14364693603652","2233","2233","2233","-81.16304109517789","-81.16304109517789","-81.16304109517789","2233","2233","2233","-96.7200265976206","-96.7200265976206","-96.7200265976206"
"281859","2249","2249","2249","-105.96788159692109","-105.96788159692109","-105.96788159692109","2249","2249","2249","-102.20822114888927","-102.20822114888927","-102.20822114888927","2249","2249","2249","-173.20286930392547","-173.20286930392547","-173.20286930392547"
"283858","2265","2265","2265","-92.12737605926111","-92.12737605926111","-92.12737605926111","2265","2265","2265","-178.60238146126923","-178.60238146126923","-178.60238146126923","2265","2265","2265","-76.2408793357192","-76.2408793357192","-76.2408793357192"
"285857","2281","2281","2281","-125.95644487698176","-125.95644487698176","-125.95644487698176","2281","2281","2281","-95.71540475100373","-95.71540475100373","-95.71540475100373","2281","2281","2281","-146.05130481796283","-146.05130481796283","-146.05130481796283"
"287856","2297","2297","2297","-119.52619370632364","-119.52619370632364","-119.52619370632364","2297","2297","2297","-125.5213896501386","-125.5213896501386","-125.5213896501386","2297","2297","2297","-124.7558927031591","-124.7558927031591","-124.7558927031591"
"289855","2313","2313","2313","-83.88332249406737","-83.88332249406737","-83.88332249406737","2313","2313","2313","-176.3278127816667","-176.3278127816667","-176.3278127816667","2313","2313","2313","-136.05967668339704","-136.05967668339704","-136.05967668339704"
"291854","2329","2329","2329","-107.90807234057607","-107.90807234057607","-107.90807234057607","2329","2329","2329","-184.39453762032974","-184.39453762032974","-184.39453762032974","2329","2329","2329","-72.53016442380196","-72.53016442380196","-72.53016442380196"
"293853","2345","2345","2345","-174.61990133558317","-174.61990133558317","-174.61990133558317","2345","2345","2345","-79.5731878823794","-79.5731878823794","-79.5731878823794","2345","2345","2345","-139.7462457819892","-139.7462457819892","-139.7462457819892"
"295852","2361","2361","2361","-99.06824740669177","-99.06824740669177","-99.06824740669177","2361","2361","2361","-121.25019161780328","-121.25019161780328","-121.25019161780328","2361","2361","2361","-102.3576310532628","-102.3576310532628","-102.3576310532628"
"297851","2377","2377","2377","-119.54979069754276","-119.54979069754276","-119.54979069754276","2377","2377","2377","-112.16987289853266","-112.16987289853266","-112.16987289853266","2377","2377","2377","-160.6940187358512","-160.6940187358512","-160.6940187358512"
"299850","2393","2393","2393","-99.94242544715989","-99.94242544715989","-99.94242544715989","2393","2393","2393","-178.43792682235303","-178.43792682235303","-178.43792682235303","2393","2393","2393","-99.39654385858516","-99.39654385858516","-99.39654385858516"
"301849","2409","2409","2409","-105.81687847112957","-105.81687847112957","-105.81687847112957","2409","2409","2409","-171.60115825279564","-171.60115825279564","-171.60115825279564","2409","2409","2409","-85.35952117720652","-85.35952117720652","-85.35952117720652"
"303848","2425","2425","2425","-113.61833394195445","-113.61833394195445","-113.61833394195445","2425","2425","2425","-187.5438281478868","-187.5438281478868","-187.5438281478868","2425","2425","2425","-115.3355991739086","-115.3355991739086","-115.3355991739086"
"305847","2441","2441","2441","-93.00764677315993","-93.00764677315993","-93.00764677315993","2441","2441","2441","-79.10526345327114","-79.10526345327114","-79.10526345327114","2441","2441","2441","-118.05536056543896","-118.05536056543896","-118.05536056543896"
"307846","2457","2457","2457","-132.6083641023656","-132.6083641023656","-132.6083641023656","2457","2457","2457","-162.50755884034996","-162.50755884034996","-162.50755884034996","2457","2457","2457","-138.33525450153425","-138.33525450153425","-138.33525450153425"
"309845","2473","2473","2473","-135.52670060735898","-135.52670060735898","-135.52670060735898","2473","2473","2473","-194.45462101160496","-194.45462101160496","-194.45462101160496","2473","2473","2473","-79.16500976645476","-79.16500976645476","-79.16500976645476"
"311844","2489","2489","2489","-85.75813340364729","-85.75813340364729","-85.75813340364729","2489","2489","2489","-158.24398318790958","-158.24398318790958","-158.24398318790958","2489","2489","2489","-141.2535677383425","-141.2535677383425","-141.2535677383425"
"313843","2505","2505","2505","-134.26410214285698","-134.26410214285698","-134.26410214285698","2505","2505","2505","-131.1663553342939","-131.1663553342939","-131.1663553342939","2505","2505","2505","-65.96651005107238","-65.96651005107238","-65.96651005107238"
"315842","2521","2521","2521","-93.20285013097894","-93.20285013097894","-93.20285013097894","2521","2521","2521","-72.00859732997559","-72.00859732997559","-72.00859732997559","2521","2521","2521","-96.52367876264023","-96.52367876264023","-96.52367876264023"
"317841","2537","2537","2537","-143.51848758981671","-143.51848758981671","-143.51848758981671","2537","2537","2537","-102.72302193360582","-102.72302193360582","-102.72302193360582","2537","2537","2537","-137.094658656384","-137.094658656384","-137.094658656384"
"319840","2553","2553","2553","-107.289386919816","-107.289386919816","-107.289386919816","2553","2553","2553","-91.41144107155681","-91.41144107155681","-91.41144107155681","2553","2553","2553","-124.70126237859273","-124.70126237859273","-124.70126237859273"
"321839","2569","2569","2569","-114.70809051725449","-114.70809051725449","-114.70809051725449","2569","2569","2569","-72.25976527861766","-72.25976527861766","-72.25976527861766","2569","2569","2569","-70.9964807166685","-70.9964807166685","-70.9964807166685"
"323838","2585","2585","2585","-109.98012660471178","-109.98012660471178","-109.98012660471178","2585","2585","2585","-102.15088327103891","-102.15088327103891","-102.15088327103891","2585","2585","2585","-111.705725379168","-111.705725379168","-111.705725379168"
"325837","2601","2601","2601","-103.0678532060041","-103.0678532060041","-103.0678532060041","2601","2601","2601","-195.38206336333172","-195.38206336333172","-195.38206336333172","2601","2601","2601","-145.7686590358664","-145.7686590358664","-145.7686590358664"
"327836","2617","2617","2617","-86.01044590341147","-86.01044590341147","-86.01044590341147","2617","2617","2617","-92.19761179841039","-92.19761179841039","-92.19761179841039","2617","2617","2617","-112.54299898689497","-112.54299898689497","-112.54299898689497"
"329835","2633","2633","2633","-133.60422388161876","-133.60422388161876","-133.60422388161876","2633","2633","2633","-130.1072086455534","-130.1072086455534","-130.1072086455534","2633","2633","2633","-106.68137178665566","-106.68137178665566","-106.68137178665566"
"331834","2649","2649","2649","-113.53374280607628","-113.53374280607628","-113.53374280607628","2649","2649","2649","-121.3228787599793","-121.3228787599793","-121.3228787599793","2649","2649","2649","-100.91861746277883","-100.91861746277883","-100.91861746277883"
"333833","2665","2665","2665","-86.09574259254158","-86.09574259254158","-86.09574259254158","2665","2665","2665","-150.46076320974805","-150.46076320974805","-150.46076320974805","2665","2665","2665","-86.47388247132628","-86.47388247132628","-86.47388247132628"
"335832","2681","2681","2681","-146.56719921810173","-146.56719921810173","-146.56719921810173","2681","2681","2681","-152.3125662973255","-152.3125662973255","-152.3125662973255","2681","2681","2681","-105.60630362341969","-105.60630362341969","-105.60630362341969"
"337831","2697","2697","2697","-109.34396353689144","-109.34396353689144","-109.34396353689144","2697","2697","2697","-113.23459377962598","-113.23459377962598","-113.23459377962598","2697","2697","2697","-107.72548916951285","-107.72548916951285","-107.72548916951285"
"339830","2713","2713","2713","-161.475993310874","-161.475993310874","-161.475993310874","2713","2713","2713","-100.72949199282058","-100.72949199282058","-100.72949199282058","2713","2713","2713","-161.00382096996177","-161.00382096996177","-161.00382096996177"
"341829","2729","2729","2729","-141.79033924843665","-141.79033924843665","-141.79033924843665","2729","2729","2729","-176.47211435255528","-176.47211435255528","-176.47211435255528","2729","2729","2729","-116.9552199839418","-116.9552199839418","-116.9552199839418"
"343828","2745","2745","2745","-112.18466605839367","-112.18466605839367","-112.18466605839367","2745","2745","2745","-163.74269644116336","-163.74269644116336","-163.74269644116336","2745","2745","2745","-96.51148835516044","-96.51148835516044","-96.51148835516044"
"345827","2761","2761","2761","-162.19072600283423","-162.19072600283423","-162.19072600283423","2761","2761","2761","-110.09818558042103","-110.09818558042103","-110.09818558042103","2761","2761","2761","-89.81460336519945","-89.81460336519945","-89.81460336519945"
"347826","2777","2777","2777","-92.23644063906461","-92.23644063906461","-92.23644063906461","2777","2777","2777","-162.86476989864047","-162.86476989864047","-162.86476989864047","2777","2777","2777","-128.4307132369184","-128.4307132369184","-128.4307132369184"
"349825","2793","2793","2793","-101.09715126243125","-101.09715126243125","-101.09715126243125","2793","2793","2793","-75.72617803546122","-75.72617803546122","-75.72617803546122","2793","2793","2793","-99.15596141749916","-99.15596141749916","-99.15596141749916"
"351824","2809","2809","2809","-107.95677869944642","-107.95677869944642","-107.95677869944642","2809","2809","2809","-117.92718239494346","-117.92718239494346","-117.92718239494346","2809","2809","2809","-150.89801607439674","-150.89801607439674","-150.89801607439674"
"353823","2825","2825","2825","-97.96895481810465","-97.96895481810465","-97.96895481810465","2825","2825","2825","-124.35094914115733","-124.35094914115733","-124.35094914115733","2825","2825","2825","-98.60024088414502","-98.60024088414502","-98.60024088414502"
"355822","2841","2841","2841","-102.16932522966876","-102.16932522966876","-102.16932522966876","2841","2841","2841","-124.2142897013853","-124.2142897013853","-124.2142897013853","2841","2841","2841","-81.06980961612827","-81.06980961612827","-81.06980961612827"
"357821","2857","2857","2857","-155.55829932461447","-155.55829932461447","-155.55829932461447","2857","2857","2857","-95.64193009225687","-95.64193009225687","-95.64193009225687","2857","2857","2857","-149.07868598984635","-149.07868598984635","-149.07868598984635"
"359820","2873","2873","2873","-98.21106105143667","-98.21106105143667","-98.21106105143667","2873","2873","2873","-171.85654863671917","-171.85654863671917","-171.85654863671917","2873","2873","2873","-76.35649522728849","-76.35649522728849","-76.35649522728849"
"361819","2889","2889","2889","-127.56354068503289","-127.56354068503289","-127.56354068503289","2889","2889","2889","-186.0222760580434","-186.0222760580434","-186.0222760580434","2889","2889","2889","-76.76470398329947","-76.76470398329947","-76.76470398329947"
"363818","2905","2905","2905","-103.69646703778989","-103.69646703778989","-103.69646703778989","2905","2905","2905","-107.24882555294457","-107.24882555294457","-107.24882555294457","2905","2905","2905","-102.31918608870967","-102.31918608870967","-102.31918608870967"
"365817","2921","2921","2921","-96.9582408908328","-96.9582408908328","-96.9582408908328","2921","2921","2921","-120.79385104228498","-120.79385104228498","-120.79385104228498","2921","2921","2921","-97.94210677356487","-97.94210677356487","-97.94210677356487"
"367816","2937","2937","2937","-99.97598193869374","-99.97598193869374","-99.97598193869374","2937","2937","2937","-135.03498606586416","-135.03498606586416","-135.03498606586416","2937","2937","2937","-158.769048167564","-158.769048167564","-158.769048167564"
"369815","2953","2953","2953","-95.14562307045904","-95.14562307045904","-95.14562307045904","2953","2953","2953","-117.17383082611896","-117.17383082611896","-117.17383082611896","2953","2953","2953","-83.48723473651933","-83.48723473651933","-83.48723473651933"
"371814","2969","2969","2969","-74.40252424403572","-74.40252424403572","-74.40252424403572","2969","2969","2969","-200.8001006036954","-200.8001006036954","-200.8001006036954","2969","2969","2969","-93.97994163344451","-93.97994163344451","-93.97994163344451"
"373813","2985","2985","2985","-98.9899681805724","-98.9899681805724","-98.9899681805724","2985","2985","2985","-65.12384443649388","-65.12384443649388","-65.12384443649388","2985","2985","2985","-95.87375127692457","-95.87375127692457","-95.87375127692457"
"375812","3001","3001","3001","-96.26351931313148","-96.26351931313148","-96.26351931313148","3001","3001","3001","-85.17573622869097","-85.17573622869097","-85.17573622869097","3001","3001","3001","-141.81580048829807","-141.81580048829807","-141.81580048829807"
"377811","3017","3017","3017","-84.46340700909697","-84.46340700909697","-84.46340700909697","3017","3017","3017","-174.23365678348046","-174.23365678348046","-174.23365678348046","3017","3017","3017","-162.19827599866468","-162.19827599866468","-162.19827599866468"
"379810","3033","3033","3033","-58.94229266179343","-58.94229266179343","-58.94229266179343","3033","3033","3033","-192.24810411866525","-192.24810411866525","-192.24810411866525","3033","3033","3033","-138.7919820067846","-138.7919820067846","-138.7919820067846"
"381809","3049","3049","3049","-94.85422573618423","-94.85422573618423","-94.85422573618423","3049","3049","3049","-91.22675108852971","-91.22675108852971","-91.22675108852971","3049","3049","3049","-155.44282679939616","-155.44282679939616","-155.44282679939616"
"383808","3065","3065","3065","-97.71630218042178","-97.71630218042178","-97.71630218042178","3065","3065","3065","-190.63296575315698","-190.63296575315698","-190.63296575315698","3065","3065","3065","-117.88354981900575","-117.88354981900575","-117.88354981900575"
"385807","3081","3081","3081","-111.46130952622421","-111.46130952622421","-111.46130952622421","3081","3081","3081","-228.9512330509086","-228.9512330509086","-228.9512330509086","3081","3081","3081","-126.23156444255966","-126.23156444255966","-126.23156444255966"
"387806","3097","3097","3097","-128.32112196566484","-128.32112196566484","-128.32112196566484","3097","3097","3097","-198.42863200587584","-198.42863200587584","-198.42863200587584","3097","3097","3097","-84.23147437214578","-84.23147437214578","-84.23147437214578"
"389805","3113","3113","3113","-86.66853454695756","-86.66853454695756","-86.66853454695756","3113","3113","3113","-189.40781717325032","-189.40781717325032","-189.40781717325032","3113","3113","3113","-134.74020124486407","-134.74020124486407","-134.74020124486407"
"391804","3129","3129","3129","-88.34588780003743","-88.34588780003743","-88.34588780003743","3129","3129","3129","-162.31007307916414","-162.31007307916414","-162.31007307916414","3129","3129","3129","-171.49357613387605","-171.49357613387605","-171.49357613387605"
"393803","3145","3145","3145","-89.01025031843582","-89.01025031843582","-89.01025031843582","3145","3145","3145","-202.45379397147096","-202.45379397147096","-202.45379397147096","3145","3145","3145","-121.03498714707058","-121.03498714707058","-121.03498714707058"
"395802","3161","3161","3161","-96.6234134558559","-96.6234134558559","-96.6234134558559","3161","3161","3161","-150.4523105377848","-150.4523105377848","-150.4523105377848","3161","3161","3161","-164.9420254877356","-164.9420254877356","-164.9420254877356"
"397801","3177","3177","3177","-129.42306560011372","-129.42306560011372","-129.42306560011372","3177","3177","3177","-198.54203645998928","-198.54203645998928","-198.54203645998928","3177","3177","3177","-164.04718820441136","-164.04718820441136","-164.04718820441136"
"399800","3192","3192","3192","-151.92526573788362","-151.92526573788362","-151.92526573788362","3192","3192","3192","-196.9374955385162","-196.9374955385162","-196.9374955385162","3192","3192","3192","-187.15850584744993","-187.15850584744993","-187.15850584744993"
"401799","3208","3208","3208","-139.75972031827897","-139.75972031827897","-139.75972031827897","3208","3208","3208","-185.43547203975203","-185.43547203975203","-185.43547203975203","3208","3208","3208","-118.34190258309464","-118.34190258309464","-118.34190258309464"
"403798","3224","3224","3224","-94.20836416093292","-94.20836416093292","-94.20836416093292","3224","3224","3224","-89.8920065698801","-89.8920065698801","-89.8920065698801","3224","3224","3224","-87.49231073703905","-87.49231073703905","-87.49231073703905"
"405797","3240","3240","3240","-84.13468835570639","-84.13468835570639","-84.13468835570639","3240","3240","3240","-78.13946595264642","-78.13946595264642","-78.13946595264642","3240","3240","3240","-98.05011609474496","-98.05011609474496","-98.05011609474496"
"407796","3256","3256","3256","-81.6348268451","-81.6348268451","-81.6348268451","3256","3256","3256","-123.92259412978926","-123.92259412978926","-123.92259412978926","3256","3256","3256","-103.01278071194469","-103.01278071194469","-103.01278071194469"
"409795","3272","3272","3272","-114.70510059068819","-114.70510059068819","-114.70510059068819","3272","3272","3272","-167.07588439590083","-167.07588439590083","-167.07588439590083","3272","3272","3272","-127.92109331874286","-127.92109331874286","-127.92109331874286"
"411794","3288","3288","3288","-86.9199178458393","-86.9199178458393","-86.9199178458393","3288","3288","3288","-101.83403349447518","-101.83403349447518","-101.83403349447518","3288","3288","3288","-181.35505941312567","-181.35505941312567","-181.35505941312567"
"413793","3304","3304","3304","-110.9374933416275","-110.9374933416275","-110.9374933416275","3304","3304","3304","-194.49751166682185","-194.49751166682185","-194.49751166682185","3304","3304","3304","-74.33816733755621","-74.33816733755621","-74.33816733755621"
"415792","3320","3320","3320","-101.64456181021698","-101.64456181021698","-101.64456181021698","3320","3320","3320","-162.0511837484739","-162.0511837484739","-162.0511837484739","3320","3320","3320","-155.33592796757898","-155.33592796757898","-155.33592796757898"
"417791","3336","3336","3336","-107.54092045190743","-107.54092045190743","-107.54092045190743","3336","3336","3336","-162.9892127637675","-162.9892127637675","-162.9892127637675","3336","3336","3336","-142.23610846508248","-142.23610846508248","-142.23610846508248"
"419790","3352","3352","3352","-82.4470241162172","-82.4470241162172","-82.4470241162172","3352","3352","3352","-97.85130319224601","-97.85130319224601","-97.85130319224601","3352","3352","3352","-130.1080171661701","-130.1080171661701","-130.1080171661701"
"421789","3368","3368","3368","-138.96040098214115","-138.96040098214115","-138.96040098214115","3368","3368","3368","-157.47987163217942","-157.47987163217942","-157.47987163217942","3368","3368","3368","-72.95330483418039","-72.95330483418039","-72.95330483418039"
"423788","3384","3384","3384","-80.73470158451065","-80.73470158451065","-80.73470158451065","3384","3384","3384","-119.85104939643126","-119.85104939643126","-119.85104939643126","3384","3384","3384","-112.68943611740582","-112.68943611740582","-112.68943611740582"
"425787","3400","3400","3400","-58.3807599395657","-58.3807599395657","-58.3807599395657","3400","3400","3400","-167.8288782542062","-167.8288782542062","-167.8288782542062","3400","3400","3400","-65.48518222386193","-65.48518222386193","-65.48518222386193"
"427786","3416","3416","3416","-71.88415971138727","-71.88415971138727","-71.88415971138727","3416","3416","3416","-115.00593932140163","-115.00593932140163","-115.00593932140163","3416","3416","3416","-148.64596008460208","-148.64596008460208","-148.64596008460208"
"429785","3432","3432","3432","-84.4009070538853","-84.4009070538853","-84.4009070538853","3432","3432","3432","-154.17502837236836","-154.17502837236836","-154.17502837236836","3432","3432","3432","-84.13963648395463","-84.13963648395463","-84.13963648395463"
"431784","3448","3448","3448","-148.19347414949286","-148.19347414949286","-148.19347414949286","3448","3448","3448","-74.26649956992095","-74.26649956992095","-74.26649956992095","3448","3448","3448","-155.50443585057153","-155.50443585057153","-155.50443585057153"
"433783","3464","3464","3464","-90.17511948944649","-90.17511948944649","-90.17511948944649","3464","3464","3464","-123.67861608751278","-123.67861608751278","-123.67861608751278","3464","3464","3464","-139.24968823368073","-139.24968823368073","-139.24968823368073"
"435782","3480","3480","3480","-83.74506070529584","-83.74506070529584","-83.74506070529584","3480","3480","3480","-61.658944227738196","-61.658944227738196","-61.658944227738196","3480","3480","3480","-135.69554169011005","-135.69554169011005","-135.69554169011005"
"437781","3496","3496","3496","-66.88255511930454","-66.88255511930454","-66.88255511930454","3496","3496","3496","-72.04193984807094","-72.04193984807094","-72.04193984807094","3496","3496","3496","-84.35549688613226","-84.35549688613226","-84.35549688613226"
"439780","3512","3512","3512","-79.48180174673047","-79.48180174673047","-79.48180174673047","3512","3512","3512","-99.64486391258322","-99.64486391258322","-99.64486391258322","3512","3512","3512","-100.26313621922569","-100.26313621922569","-100.26313621922569"
"441779","3528","3528","3528","-124.75695577157124","-124.75695577157124","-124.75695577157124","3528","3528","3528","-150.06368558714502","-150.06368558714502","-150.06368558714502","3528","3528","3528","-43.757112119388786","-43.757112119388786","-43.757112119388786"
"443778","3544","3544","3544","-94.0366844120634","-94.0366844120634","-94.0366844120634","3544","3544","3544","-106.64918421722022","-106.64918421722022","-106.64918421722022","3544","3544","3544","-147.51056982555863","-147.51056982555863","-147.51056982555863"
"445777","3560","3560","3560","-123.20242450512966","-123.20242450512966","-123.20242450512966","3560","3560","3560","-60.79926736961288","-60.79926736961288","-60.79926736961288","3560","3560","3560","-132.29767213641412","-132.29767213641412","-132.29767213641412"
"447776","3576","3576","3576","-81.20929722945203","-81.20929722945203","-81.20929722945203","3576","3576","3576","-93.52271248077749","-93.52271248077749","-93.52271248077749","3576","3576","3576","-85.4266075578244","-85.4266075578244","-85.4266075578244"
"449775","3592","3592","3592","-72.21636082276315","-72.21636082276315","-72.21636082276315","3592","3592","3592","-129.34670445748296","-129.34670445748296","-129.34670445748296","3592","3592","3592","-75.5532691186841","-75.5532691186841","-75.5532691186841"
"451774","3608","3608","3608","-69.25547122424726","-69.25547122424726","-69.25547122424726","3608","3608","3608","-124.10965434779614","-124.10965434779614","-124.10965434779614","3608","3608","3608","-104.01098897944166","-104.01098897944166","-104.01098897944166"
"453773","3624","3624","3624","-133.67662904940582","-133.67662904940582","-133.67662904940582","3624","3624","3624","-87.14961968231175","-87.14961968231175","-87.14961968231175","3624","3624","3624","-120.84669379666151","-120.84669379666151","-120.84669379666151"
"455772","3640","3640","3640","-90.64477984198125","-90.64477984198125","-90.64477984198125","3640","3640","3640","-177.10745512962458","-177.10745512962458","-177.10745512962458","3640","3640","3640","-44.30300744552227","-44.30300744552227","-44.30300744552227"
"457771","3656","3656","3656","-123.35913398999833","-123.35913398999833","-123.35913398999833","3656","3656","3656","-115.05765118917817","-115.05765118917817","-115.05765118917817","3656","3656","3656","-58.00058642600464","-58.00058642600464","-58.00058642600464"
"459770","3672","3672","3672","-85.42905620180768","-85.42905620180768","-85.42905620180768","3672","3672","3672","-158.11461336364007","-158.11461336364007","-158.11461336364007","3672","3672","3672","-61.33353875097586","-61.33353875097586","-61.33353875097586"
"461769","3688","3688","3688","-99.65689121131575","-99.65689121131575","-99.65689121131575","3688","3688","3688","-56.72600713302613","-56.72600713302613","-56.72600713302613","3688","3688","3688","-102.13138200599163","-102.13138200599163","-102.13138200599163"
"463768","3704","3704","3704","-139.32656612419024","-139.32656612419024","-139.32656612419024","3704","3704","3704","-159.9980862830159","-159.9980862830159","-159.9980862830159","3704","3704","3704","-130.14955527074812","-130.14955527074812","-130.14955527074812"
"465767","3720","3720","3720","-107.26243179013102","-107.26243179013102","-107.26243179013102","3720","3720","3720","-163.0851002369691","-163.0851002369691","-163.0851002369691","3720","3720","3720","-59.19162872560462","-59.19162872560462","-59.19162872560462"
"467766","3736","3736","3736","-133.74318034676634","-133.74318034676634","-133.74318034676634","3736","3736","3736","-78.54031903486393","-78.54031903486393","-78.54031903486393","3736","3736","3736","-85.57339549402944","-85.57339549402944","-85.57339549402944"
"469765","3752","3752","3752","-146.52556211022215","-146.52556211022215","-146.52556211022215","3752","3752","3752","-117.72302402223005","-117.72302402223005","-117.72302402223005","3752","3752","3752","-105.43747400407081","-105.43747400407081","-105.43747400407081"
"471764","3768","3768","3768","-99.04908438450997","-99.04908438450997","-99.04908438450997","3768","3768","3768","-171.7330060352022","-171.7330060352022","-171.7330060352022","3768","3768","3768","-102.4998190059026","-102.4998190059026","-102.4998190059026"
"473763","3784","3784","3784","-165.44218549636682","-165.44218549636682","-165.44218549636682","3784","3784","3784","-90.39727431615546","-90.39727431615546","-90.39727431615546","3784","3784","3784","-129.8660847792002","-129.8660847792002","-129.8660847792002"
"475762","3800","3800","3800","-210.7116656999814","-210.7116656999814","-210.7116656999814","3800","3800","3800","-111.10353396267621","-111.10353396267621","-111.10353396267621","3800","3800","3800","-85.19800930778422","-85.19800930778422","-85.19800930778422"
"477761","3816","3816","3816","-112.79739607338884","-112.79739607338884","-112.79739607338884","3816","3816","3816","-151.55177240283487","-151.55177240283487","-151.55177240283487","3816","3816","3816","-121.7850947896653","-121.7850947896653","-121.7850947896653"
"479760","3832","3832","3832","-105.41573032054488","-105.41573032054488","-105.41573032054488","3832","3832","3832","-64.94168386761051","-64.94168386761051","-64.94168386761051","3832","3832","3832","-57.2276831241551","-57.2276831241551","-57.2276831241551"
"481759","3848","3848","3848","-116.2556439977321","-116.2556439977321","-116.2556439977321","3848","3848","3848","-69.98887636673845","-69.98887636673845","-69.98887636673845","3848","3848","3848","-129.96295539114172","-129.96295539114172","-129.96295539114172"
"483758","3864","3864","3864","-89.80823550693532","-89.80823550693532","-89.80823550693532","3864","3864","3864","-70.93716796641145","-70.93716796641145","-70.93716796641145","3864","3864","3864","-96.2463439643705","-96.2463439643705","-96.2463439643705"
"485757","3880","3880","3880","-166.79707719961323","-166.79707719961323","-166.79707719961323","3880","3880","3880","-91.13592308293812","-91.13592308293812","-91.13592308293812","3880","3880","3880","-78.4397007111647","-78.4397007111647","-78.4397007111647"
