"sac_train/steps","wobbly-sun-24 - _step","wobbly-sun-24 - _step__MIN","wobbly-sun-24 - _step__MAX","wobbly-sun-24 - sac_train/episode_return","wobbly-sun-24 - sac_train/episode_return__MIN","wobbly-sun-24 - sac_train/episode_return__MAX","unique-planet-23 - _step","unique-planet-23 - _step__MIN","unique-planet-23 - _step__MAX","unique-planet-23 - sac_train/episode_return","unique-planet-23 - sac_train/episode_return__MIN","unique-planet-23 - sac_train/episode_return__MAX","eternal-morning-22 - _step","eternal-morning-22 - _step__MIN","eternal-morning-22 - _step__MAX","eternal-morning-22 - sac_train/episode_return","eternal-morning-22 - sac_train/episode_return__MIN","eternal-morning-22 - sac_train/episode_return__MAX","likely-glitter-21 - _step","likely-glitter-21 - _step__MIN","likely-glitter-21 - _step__MAX","likely-glitter-21 - sac_train/episode_return","likely-glitter-21 - sac_train/episode_return__MIN","likely-glitter-21 - sac_train/episode_return__MAX","silvery-aardvark-20 - _step","silvery-aardvark-20 - _step__MIN","silvery-aardvark-20 - _step__MAX","silvery-aardvark-20 - sac_train/episode_return","silvery-aardvark-20 - sac_train/episode_return__MIN","silvery-aardvark-20 - sac_train/episode_return__MAX"
"24600","2581","2581","2581","-122.69490422868614","-122.69490422868614","-122.69490422868614","2581","2581","2581","-117.26774102770399","-117.26774102770399","-117.26774102770399","2581","2581","2581","-127.11546419319052","-127.11546419319052","-127.11546419319052","2581","2581","2581","-122.09444657105394","-122.09444657105394","-122.09444657105394","2581","2581","2581","-121.23008024843664","-121.23008024843664","-121.23008024843664"
"24800","2602","2602","2602","-120.48160449716246","-120.48160449716246","-120.48160449716246","2602","2602","2602","-1.1484359752253968","-1.1484359752253968","-1.1484359752253968","2602","2602","2602","-125.04012752423941","-125.04012752423941","-125.04012752423941","2602","2602","2602","-231.13021848738535","-231.13021848738535","-231.13021848738535","2602","2602","2602","-123.43969966981196","-123.43969966981196","-123.43969966981196"
"25000","2623","2623","2623","-126.07188617856852","-126.07188617856852","-126.07188617856852","2623","2623","2623","-310.55273814945673","-310.55273814945673","-310.55273814945673","2623","2623","2623","-117.92336624892012","-117.92336624892012","-117.92336624892012","2623","2623","2623","-118.7885267850214","-118.7885267850214","-118.7885267850214","2623","2623","2623","-121.76542994833262","-121.76542994833262","-121.76542994833262"
"25200","2644","2644","2644","-124.49780632351232","-124.49780632351232","-124.49780632351232","2644","2644","2644","-117.74249598518223","-117.74249598518223","-117.74249598518223","2644","2644","2644","-124.04235252776523","-124.04235252776523","-124.04235252776523","2644","2644","2644","-231.28542777487627","-231.28542777487627","-231.28542777487627","2644","2644","2644","-118.97200353367997","-118.97200353367997","-118.97200353367997"
"25400","2665","2665","2665","-1.5288989660901313","-1.5288989660901313","-1.5288989660901313","2665","2665","2665","-246.32482267657886","-246.32482267657886","-246.32482267657886","2665","2665","2665","-0.9275163091068075","-0.9275163091068075","-0.9275163091068075","2665","2665","2665","-2.6182498195039092","-2.6182498195039092","-2.6182498195039092","2665","2665","2665","-119.71193371664587","-119.71193371664587","-119.71193371664587"
"25600","2686","2686","2686","-118.24613842010373","-118.24613842010373","-118.24613842010373","2686","2686","2686","-333.0345825821633","-333.0345825821633","-333.0345825821633","2686","2686","2686","-124.21794563880005","-124.21794563880005","-124.21794563880005","2686","2686","2686","-228.52866515203502","-228.52866515203502","-228.52866515203502","2686","2686","2686","-289.81878080230655","-289.81878080230655","-289.81878080230655"
"25800","2707","2707","2707","-116.91566356433268","-116.91566356433268","-116.91566356433268","2707","2707","2707","-232.23729036288748","-232.23729036288748","-232.23729036288748","2707","2707","2707","-123.22782868510586","-123.22782868510586","-123.22782868510586","2707","2707","2707","-119.09684173741887","-119.09684173741887","-119.09684173741887","2707","2707","2707","-116.75201710481004","-116.75201710481004","-116.75201710481004"
"26000","2728","2728","2728","-123.86770505811495","-123.86770505811495","-123.86770505811495","2728","2728","2728","-123.94022278060051","-123.94022278060051","-123.94022278060051","2728","2728","2728","-120.04945827138712","-120.04945827138712","-120.04945827138712","2728","2728","2728","-115.51549663982605","-115.51549663982605","-115.51549663982605","2728","2728","2728","-2.1733749977657655","-2.1733749977657655","-2.1733749977657655"
"26200","2749","2749","2749","-219.71054499548669","-219.71054499548669","-219.71054499548669","2749","2749","2749","-117.31399846313921","-117.31399846313921","-117.31399846313921","2749","2749","2749","-123.9346820269028","-123.9346820269028","-123.9346820269028","2749","2749","2749","-118.90963358607182","-118.90963358607182","-118.90963358607182","2749","2749","2749","-120.34181392057852","-120.34181392057852","-120.34181392057852"
"26400","2770","2770","2770","-117.72383619786042","-117.72383619786042","-117.72383619786042","2770","2770","2770","-124.86432943638742","-124.86432943638742","-124.86432943638742","2770","2770","2770","-121.5864944081663","-121.5864944081663","-121.5864944081663","2770","2770","2770","-223.96579976551067","-223.96579976551067","-223.96579976551067","2770","2770","2770","-116.70442933436932","-116.70442933436932","-116.70442933436932"
"26600","2791","2791","2791","-229.97489240146186","-229.97489240146186","-229.97489240146186","2791","2791","2791","-119.6610685662993","-119.6610685662993","-119.6610685662993","2791","2791","2791","-127.05831958936614","-127.05831958936614","-127.05831958936614","2791","2791","2791","-114.70278565252949","-114.70278565252949","-114.70278565252949","2791","2791","2791","-120.62343765778365","-120.62343765778365","-120.62343765778365"
"26800","2812","2812","2812","-119.55286719332807","-119.55286719332807","-119.55286719332807","2812","2812","2812","-119.73503891135074","-119.73503891135074","-119.73503891135074","2812","2812","2812","-273.5523238954142","-273.5523238954142","-273.5523238954142","2812","2812","2812","-122.69251525196972","-122.69251525196972","-122.69251525196972","2812","2812","2812","-119.9170827052992","-119.9170827052992","-119.9170827052992"
"27000","2833","2833","2833","-120.82039762888176","-120.82039762888176","-120.82039762888176","2833","2833","2833","-114.49915944793233","-114.49915944793233","-114.49915944793233","2833","2833","2833","-3.3230517944623736","-3.3230517944623736","-3.3230517944623736","2833","2833","2833","-228.44529404172195","-228.44529404172195","-228.44529404172195","2833","2833","2833","-126.8188336808675","-126.8188336808675","-126.8188336808675"
"27200","2854","2854","2854","-119.38390582027228","-119.38390582027228","-119.38390582027228","2854","2854","2854","-120.72650420413855","-120.72650420413855","-120.72650420413855","2854","2854","2854","-1.173186419884827","-1.173186419884827","-1.173186419884827","2854","2854","2854","-125.89793027249766","-125.89793027249766","-125.89793027249766","2854","2854","2854","-2.3762379640309783","-2.3762379640309783","-2.3762379640309783"
"27400","2875","2875","2875","-120.96238776127691","-120.96238776127691","-120.96238776127691","2875","2875","2875","-232.85849592214493","-232.85849592214493","-232.85849592214493","2875","2875","2875","-123.00180248799502","-123.00180248799502","-123.00180248799502","2875","2875","2875","-234.49492322809942","-234.49492322809942","-234.49492322809942","2875","2875","2875","-119.2523734222839","-119.2523734222839","-119.2523734222839"
"27600","2896","2896","2896","-118.14270935898764","-118.14270935898764","-118.14270935898764","2896","2896","2896","-126.67851731528317","-126.67851731528317","-126.67851731528317","2896","2896","2896","-115.27290549949065","-115.27290549949065","-115.27290549949065","2896","2896","2896","-232.9303404707438","-232.9303404707438","-232.9303404707438","2896","2896","2896","-122.7040387049146","-122.7040387049146","-122.7040387049146"
"27800","2917","2917","2917","-113.71207823676777","-113.71207823676777","-113.71207823676777","2917","2917","2917","-222.10603882871843","-222.10603882871843","-222.10603882871843","2917","2917","2917","-340.3141909720812","-340.3141909720812","-340.3141909720812","2917","2917","2917","-124.2569388968307","-124.2569388968307","-124.2569388968307","2917","2917","2917","-123.3833659876054","-123.3833659876054","-123.3833659876054"
"28000","2938","2938","2938","-230.4522119022017","-230.4522119022017","-230.4522119022017","2938","2938","2938","-114.22921504631822","-114.22921504631822","-114.22921504631822","2938","2938","2938","-125.78260179102814","-125.78260179102814","-125.78260179102814","2938","2938","2938","-124.75608336269188","-124.75608336269188","-124.75608336269188","2938","2938","2938","-1.6717318997925223","-1.6717318997925223","-1.6717318997925223"
"28200","2959","2959","2959","-117.68706962341982","-117.68706962341982","-117.68706962341982","2959","2959","2959","-1.6977971978526425","-1.6977971978526425","-1.6977971978526425","2959","2959","2959","-125.36299911621317","-125.36299911621317","-125.36299911621317","2959","2959","2959","-334.46527099291666","-334.46527099291666","-334.46527099291666","2959","2959","2959","-223.67700245155365","-223.67700245155365","-223.67700245155365"
"28400","2980","2980","2980","-227.5359131136915","-227.5359131136915","-227.5359131136915","2980","2980","2980","-115.62426682964995","-115.62426682964995","-115.62426682964995","2980","2980","2980","-124.15238145982703","-124.15238145982703","-124.15238145982703","2980","2980","2980","-116.70077218743816","-116.70077218743816","-116.70077218743816","2980","2980","2980","-123.58116247951892","-123.58116247951892","-123.58116247951892"
"28600","3001","3001","3001","-116.57529792281193","-116.57529792281193","-116.57529792281193","3001","3001","3001","-121.12819814906248","-121.12819814906248","-121.12819814906248","3001","3001","3001","-120.10604903190583","-120.10604903190583","-120.10604903190583","3001","3001","3001","-116.98493939779786","-116.98493939779786","-116.98493939779786","3001","3001","3001","-117.62551616530871","-117.62551616530871","-117.62551616530871"
"28800","3022","3022","3022","-117.57290891619797","-117.57290891619797","-117.57290891619797","3022","3022","3022","-119.29285435238201","-119.29285435238201","-119.29285435238201","3022","3022","3022","-236.02035461316848","-236.02035461316848","-236.02035461316848","3022","3022","3022","-114.0923057772211","-114.0923057772211","-114.0923057772211","3022","3022","3022","-124.81327782043395","-124.81327782043395","-124.81327782043395"
"29000","3043","3043","3043","-1.185329421271595","-1.185329421271595","-1.185329421271595","3043","3043","3043","-0.4503779270431297","-0.4503779270431297","-0.4503779270431297","3043","3043","3043","-116.48336175536554","-116.48336175536554","-116.48336175536554","3043","3043","3043","-228.77537259598364","-228.77537259598364","-228.77537259598364","3043","3043","3043","-122.48961781535014","-122.48961781535014","-122.48961781535014"
"29200","3064","3064","3064","-219.86682425841124","-219.86682425841124","-219.86682425841124","3064","3064","3064","-123.68228221258018","-123.68228221258018","-123.68228221258018","3064","3064","3064","-124.29620973789524","-124.29620973789524","-124.29620973789524","3064","3064","3064","-121.4662339558498","-121.4662339558498","-121.4662339558498","3064","3064","3064","-333.5208466097942","-333.5208466097942","-333.5208466097942"
"29400","3085","3085","3085","-124.02391801712373","-124.02391801712373","-124.02391801712373","3085","3085","3085","-120.05570315005498","-120.05570315005498","-120.05570315005498","3085","3085","3085","-121.49392336710315","-121.49392336710315","-121.49392336710315","3085","3085","3085","-125.67191025462962","-125.67191025462962","-125.67191025462962","3085","3085","3085","-122.68824992743836","-122.68824992743836","-122.68824992743836"
"29600","3106","3106","3106","-121.17514878011492","-121.17514878011492","-121.17514878011492","3106","3106","3106","-232.63256978489972","-232.63256978489972","-232.63256978489972","3106","3106","3106","-122.36750180918209","-122.36750180918209","-122.36750180918209","3106","3106","3106","-118.43199986138394","-118.43199986138394","-118.43199986138394","3106","3106","3106","-125.13257622465704","-125.13257622465704","-125.13257622465704"
"29800","3127","3127","3127","-118.48757938356265","-118.48757938356265","-118.48757938356265","3127","3127","3127","-232.52251330124236","-232.52251330124236","-232.52251330124236","3127","3127","3127","-397.6812431462891","-397.6812431462891","-397.6812431462891","3127","3127","3127","-129.1639590931951","-129.1639590931951","-129.1639590931951","3127","3127","3127","-261.7043736161921","-261.7043736161921","-261.7043736161921"
"30000","3148","3148","3148","-117.61610863536546","-117.61610863536546","-117.61610863536546","3148","3148","3148","-230.58708462509082","-230.58708462509082","-230.58708462509082","3148","3148","3148","-225.2794322594895","-225.2794322594895","-225.2794322594895","3148","3148","3148","-119.36020065708652","-119.36020065708652","-119.36020065708652","3148","3148","3148","-1.2995519956338601","-1.2995519956338601","-1.2995519956338601"
"30200","3169","3169","3169","-225.39422991232067","-225.39422991232067","-225.39422991232067","3169","3169","3169","-124.10820004962002","-124.10820004962002","-124.10820004962002","3169","3169","3169","-355.9471422673655","-355.9471422673655","-355.9471422673655","3169","3169","3169","-0.9746068835599828","-0.9746068835599828","-0.9746068835599828","3169","3169","3169","-3.3403331235354345","-3.3403331235354345","-3.3403331235354345"
"30400","3190","3190","3190","-116.34177482483575","-116.34177482483575","-116.34177482483575","3190","3190","3190","-119.19253093185448","-119.19253093185448","-119.19253093185448","3190","3190","3190","-0.8520461110987047","-0.8520461110987047","-0.8520461110987047","3190","3190","3190","-117.1874299433832","-117.1874299433832","-117.1874299433832","3190","3190","3190","-222.38999071387005","-222.38999071387005","-222.38999071387005"
"30600","3211","3211","3211","-119.59532260276916","-119.59532260276916","-119.59532260276916","3211","3211","3211","-226.84281552541796","-226.84281552541796","-226.84281552541796","3211","3211","3211","-218.38438238067607","-218.38438238067607","-218.38438238067607","3211","3211","3211","-123.74409649252422","-123.74409649252422","-123.74409649252422","3211","3211","3211","-118.70625759076958","-118.70625759076958","-118.70625759076958"
"30800","3232","3232","3232","-114.42762307798563","-114.42762307798563","-114.42762307798563","3232","3232","3232","-2.596279500657285","-2.596279500657285","-2.596279500657285","3232","3232","3232","-117.49881113773327","-117.49881113773327","-117.49881113773327","3232","3232","3232","-120.59436788891547","-120.59436788891547","-120.59436788891547","3232","3232","3232","-232.18017122610712","-232.18017122610712","-232.18017122610712"
"31000","3253","3253","3253","-116.38108449944045","-116.38108449944045","-116.38108449944045","3253","3253","3253","-118.10907953368341","-118.10907953368341","-118.10907953368341","3253","3253","3253","-116.70157168903033","-116.70157168903033","-116.70157168903033","3253","3253","3253","-125.65730963416027","-125.65730963416027","-125.65730963416027","3253","3253","3253","-0.7772968427520501","-0.7772968427520501","-0.7772968427520501"
"31200","3274","3274","3274","-120.94365767800055","-120.94365767800055","-120.94365767800055","3274","3274","3274","-119.66503344165876","-119.66503344165876","-119.66503344165876","3274","3274","3274","-117.20629230181497","-117.20629230181497","-117.20629230181497","3274","3274","3274","-1.232516868594612","-1.232516868594612","-1.232516868594612","3274","3274","3274","-353.7219944583867","-353.7219944583867","-353.7219944583867"
"31400","3295","3295","3295","-0.6923456787161588","-0.6923456787161588","-0.6923456787161588","3295","3295","3295","-115.31915816696144","-115.31915816696144","-115.31915816696144","3295","3295","3295","-117.29823935528616","-117.29823935528616","-117.29823935528616","3295","3295","3295","-314.2103103900284","-314.2103103900284","-314.2103103900284","3295","3295","3295","-225.87001824907344","-225.87001824907344","-225.87001824907344"
"31600","3316","3316","3316","-0.7159440528896817","-0.7159440528896817","-0.7159440528896817","3316","3316","3316","-3.2598779275965546","-3.2598779275965546","-3.2598779275965546","3316","3316","3316","-117.7652807594994","-117.7652807594994","-117.7652807594994","3316","3316","3316","-0.5354168177980411","-0.5354168177980411","-0.5354168177980411","3316","3316","3316","-120.34490881682038","-120.34490881682038","-120.34490881682038"
"31800","3337","3337","3337","-120.02163532409968","-120.02163532409968","-120.02163532409968","3337","3337","3337","-125.15902484174299","-125.15902484174299","-125.15902484174299","3337","3337","3337","-119.72667905554069","-119.72667905554069","-119.72667905554069","3337","3337","3337","-121.59388950957728","-121.59388950957728","-121.59388950957728","3337","3337","3337","-219.75161161304717","-219.75161161304717","-219.75161161304717"
"32000","3358","3358","3358","-119.03542585214578","-119.03542585214578","-119.03542585214578","3358","3358","3358","-226.2559134018627","-226.2559134018627","-226.2559134018627","3358","3358","3358","-122.39807376846034","-122.39807376846034","-122.39807376846034","3358","3358","3358","-116.50670713454848","-116.50670713454848","-116.50670713454848","3358","3358","3358","-125.27928026922268","-125.27928026922268","-125.27928026922268"
"32200","3379","3379","3379","-225.69358586861156","-225.69358586861156","-225.69358586861156","3379","3379","3379","-115.38144485116501","-115.38144485116501","-115.38144485116501","3379","3379","3379","-2.054839159372287","-2.054839159372287","-2.054839159372287","3379","3379","3379","-121.39377742518849","-121.39377742518849","-121.39377742518849","3379","3379","3379","-124.8309313710783","-124.8309313710783","-124.8309313710783"
"32400","3400","3400","3400","-116.57997325892322","-116.57997325892322","-116.57997325892322","3400","3400","3400","-117.19376699170898","-117.19376699170898","-117.19376699170898","3400","3400","3400","-122.57848978507049","-122.57848978507049","-122.57848978507049","3400","3400","3400","-281.2797911846025","-281.2797911846025","-281.2797911846025","3400","3400","3400","-217.75860551950825","-217.75860551950825","-217.75860551950825"
"32600","3421","3421","3421","-237.2257834595598","-237.2257834595598","-237.2257834595598","3421","3421","3421","-121.8851071095621","-121.8851071095621","-121.8851071095621","3421","3421","3421","-326.8384648261857","-326.8384648261857","-326.8384648261857","3421","3421","3421","-118.87742728685787","-118.87742728685787","-118.87742728685787","3421","3421","3421","-120.08600077854908","-120.08600077854908","-120.08600077854908"
"32800","3442","3442","3442","-125.32607678324851","-125.32607678324851","-125.32607678324851","3442","3442","3442","-114.97496406420467","-114.97496406420467","-114.97496406420467","3442","3442","3442","-114.69607360879192","-114.69607360879192","-114.69607360879192","3442","3442","3442","-120.62372366655462","-120.62372366655462","-120.62372366655462","3442","3442","3442","-125.86529564698075","-125.86529564698075","-125.86529564698075"
"33000","3463","3463","3463","-127.1556909089706","-127.1556909089706","-127.1556909089706","3463","3463","3463","-116.7167961013436","-116.7167961013436","-116.7167961013436","3463","3463","3463","-117.42039643799976","-117.42039643799976","-117.42039643799976","3463","3463","3463","-229.43530864997652","-229.43530864997652","-229.43530864997652","3463","3463","3463","-222.96148845725125","-222.96148845725125","-222.96148845725125"
"33200","3484","3484","3484","-117.0985118381388","-117.0985118381388","-117.0985118381388","3484","3484","3484","-126.43464332542742","-126.43464332542742","-126.43464332542742","3484","3484","3484","-120.04637378344138","-120.04637378344138","-120.04637378344138","3484","3484","3484","-231.00061567957792","-231.00061567957792","-231.00061567957792","3484","3484","3484","-119.0461434035012","-119.0461434035012","-119.0461434035012"
"33400","3505","3505","3505","-313.25393689295447","-313.25393689295447","-313.25393689295447","3505","3505","3505","-1.0565967144908357","-1.0565967144908357","-1.0565967144908357","3505","3505","3505","-120.76561489199652","-120.76561489199652","-120.76561489199652","3505","3505","3505","-237.19759417416495","-237.19759417416495","-237.19759417416495","3505","3505","3505","-224.42135161906708","-224.42135161906708","-224.42135161906708"
"33600","3526","3526","3526","-123.96186248673719","-123.96186248673719","-123.96186248673719","3526","3526","3526","-123.3836179315468","-123.3836179315468","-123.3836179315468","3526","3526","3526","-117.81143481978123","-117.81143481978123","-117.81143481978123","3526","3526","3526","-119.15935471507724","-119.15935471507724","-119.15935471507724","3526","3526","3526","-115.66301330828745","-115.66301330828745","-115.66301330828745"
"33800","3547","3547","3547","-2.4550475357417825","-2.4550475357417825","-2.4550475357417825","3547","3547","3547","-330.80192034047514","-330.80192034047514","-330.80192034047514","3547","3547","3547","-120.20456413514424","-120.20456413514424","-120.20456413514424","3547","3547","3547","-224.3940683767044","-224.3940683767044","-224.3940683767044","3547","3547","3547","-121.0558974373805","-121.0558974373805","-121.0558974373805"
"34000","3568","3568","3568","-242.7784553512061","-242.7784553512061","-242.7784553512061","3568","3568","3568","-120.37530776616839","-120.37530776616839","-120.37530776616839","3568","3568","3568","-116.1502011345488","-116.1502011345488","-116.1502011345488","3568","3568","3568","-225.50410874987952","-225.50410874987952","-225.50410874987952","3568","3568","3568","-125.49668097567042","-125.49668097567042","-125.49668097567042"
"34200","3589","3589","3589","-124.52160743304427","-124.52160743304427","-124.52160743304427","3589","3589","3589","-220.4644685512782","-220.4644685512782","-220.4644685512782","3589","3589","3589","-115.80622470982844","-115.80622470982844","-115.80622470982844","3589","3589","3589","-124.8189960717436","-124.8189960717436","-124.8189960717436","3589","3589","3589","-222.83452767769316","-222.83452767769316","-222.83452767769316"
"34400","3610","3610","3610","-121.95794258739292","-121.95794258739292","-121.95794258739292","3610","3610","3610","-117.86602655190786","-117.86602655190786","-117.86602655190786","3610","3610","3610","-1.6340184615855105","-1.6340184615855105","-1.6340184615855105","3610","3610","3610","-319.12742049068856","-319.12742049068856","-319.12742049068856","3610","3610","3610","-2.2182940854999407","-2.2182940854999407","-2.2182940854999407"
"34600","3631","3631","3631","-119.79249208447449","-119.79249208447449","-119.79249208447449","3631","3631","3631","-114.34235615744016","-114.34235615744016","-114.34235615744016","3631","3631","3631","-120.13164146563913","-120.13164146563913","-120.13164146563913","3631","3631","3631","-232.4590492671424","-232.4590492671424","-232.4590492671424","3631","3631","3631","-226.79563404614254","-226.79563404614254","-226.79563404614254"
"34800","3652","3652","3652","-123.71864307242699","-123.71864307242699","-123.71864307242699","3652","3652","3652","-124.79099855976634","-124.79099855976634","-124.79099855976634","3652","3652","3652","-2.0355584098102906","-2.0355584098102906","-2.0355584098102906","3652","3652","3652","-234.08852278172353","-234.08852278172353","-234.08852278172353","3652","3652","3652","-236.03707910374777","-236.03707910374777","-236.03707910374777"
"35000","3673","3673","3673","-337.2974363359257","-337.2974363359257","-337.2974363359257","3673","3673","3673","-2.5720979715612122","-2.5720979715612122","-2.5720979715612122","3673","3673","3673","-2.0885562106475897","-2.0885562106475897","-2.0885562106475897","3673","3673","3673","-347.86120443080017","-347.86120443080017","-347.86120443080017","3673","3673","3673","-122.53286449269015","-122.53286449269015","-122.53286449269015"
"35200","3694","3694","3694","-120.10559277005201","-120.10559277005201","-120.10559277005201","3694","3694","3694","-120.21146074462764","-120.21146074462764","-120.21146074462764","3694","3694","3694","-124.79751928320053","-124.79751928320053","-124.79751928320053","3694","3694","3694","-114.52853875512388","-114.52853875512388","-114.52853875512388","3694","3694","3694","-120.0318556924282","-120.0318556924282","-120.0318556924282"
"35400","3715","3715","3715","-225.74942365073767","-225.74942365073767","-225.74942365073767","3715","3715","3715","-262.06530297489024","-262.06530297489024","-262.06530297489024","3715","3715","3715","-126.41420767002573","-126.41420767002573","-126.41420767002573","3715","3715","3715","-121.8512911515014","-121.8512911515014","-121.8512911515014","3715","3715","3715","-120.87026820006616","-120.87026820006616","-120.87026820006616"
"35600","3736","3736","3736","-0.5480004335916691","-0.5480004335916691","-0.5480004335916691","3736","3736","3736","-119.76368446261705","-119.76368446261705","-119.76368446261705","3736","3736","3736","-124.45176930099541","-124.45176930099541","-124.45176930099541","3736","3736","3736","-126.17196577037744","-126.17196577037744","-126.17196577037744","3736","3736","3736","-225.03880858850104","-225.03880858850104","-225.03880858850104"
"35800","3757","3757","3757","-121.56600132793908","-121.56600132793908","-121.56600132793908","3757","3757","3757","-120.25263004904869","-120.25263004904869","-120.25263004904869","3757","3757","3757","-120.84156263910263","-120.84156263910263","-120.84156263910263","3757","3757","3757","-126.52036989246594","-126.52036989246594","-126.52036989246594","3757","3757","3757","-2.3288019888362803","-2.3288019888362803","-2.3288019888362803"
"36000","3778","3778","3778","-128.28131486841363","-128.28131486841363","-128.28131486841363","3778","3778","3778","-121.85557038051148","-121.85557038051148","-121.85557038051148","3778","3778","3778","-3.1523156309407674","-3.1523156309407674","-3.1523156309407674","3778","3778","3778","-1.709173761656416","-1.709173761656416","-1.709173761656416","3778","3778","3778","-2.9438912752433133","-2.9438912752433133","-2.9438912752433133"
"36200","3799","3799","3799","-120.50665529498968","-120.50665529498968","-120.50665529498968","3799","3799","3799","-119.36796386301147","-119.36796386301147","-119.36796386301147","3799","3799","3799","-235.15990397500912","-235.15990397500912","-235.15990397500912","3799","3799","3799","-0.26739424929638156","-0.26739424929638156","-0.26739424929638156","3799","3799","3799","-126.18782536898453","-126.18782536898453","-126.18782536898453"
"36400","3820","3820","3820","-242.84769780243522","-242.84769780243522","-242.84769780243522","3820","3820","3820","-231.09402760441185","-231.09402760441185","-231.09402760441185","3820","3820","3820","-0.6256395094968386","-0.6256395094968386","-0.6256395094968386","3820","3820","3820","-236.58773602055265","-236.58773602055265","-236.58773602055265","3820","3820","3820","-123.10888926441301","-123.10888926441301","-123.10888926441301"
"36600","3841","3841","3841","-220.04990802627097","-220.04990802627097","-220.04990802627097","3841","3841","3841","-116.38371310619696","-116.38371310619696","-116.38371310619696","3841","3841","3841","-117.27195460835884","-117.27195460835884","-117.27195460835884","3841","3841","3841","-231.64696182139642","-231.64696182139642","-231.64696182139642","3841","3841","3841","-223.74263652224235","-223.74263652224235","-223.74263652224235"
"36800","3862","3862","3862","-246.9053903133996","-246.9053903133996","-246.9053903133996","3862","3862","3862","-125.02264023909113","-125.02264023909113","-125.02264023909113","3862","3862","3862","-235.29857678709863","-235.29857678709863","-235.29857678709863","3862","3862","3862","-120.62275494694603","-120.62275494694603","-120.62275494694603","3862","3862","3862","-126.96050399575738","-126.96050399575738","-126.96050399575738"
"37000","3883","3883","3883","-125.87145116265513","-125.87145116265513","-125.87145116265513","3883","3883","3883","-123.24035812212249","-123.24035812212249","-123.24035812212249","3883","3883","3883","-122.44405961322236","-122.44405961322236","-122.44405961322236","3883","3883","3883","-126.6220183915814","-126.6220183915814","-126.6220183915814","3883","3883","3883","-117.80854545472306","-117.80854545472306","-117.80854545472306"
"37200","3904","3904","3904","-314.50856628352267","-314.50856628352267","-314.50856628352267","3904","3904","3904","-129.14856742522622","-129.14856742522622","-129.14856742522622","3904","3904","3904","-123.15964923160429","-123.15964923160429","-123.15964923160429","3904","3904","3904","-231.81446225584034","-231.81446225584034","-231.81446225584034","3904","3904","3904","-126.36365531633578","-126.36365531633578","-126.36365531633578"
"37400","3925","3925","3925","-119.29548123767343","-119.29548123767343","-119.29548123767343","3925","3925","3925","-2.2212936359327813","-2.2212936359327813","-2.2212936359327813","3925","3925","3925","-123.91147922840872","-123.91147922840872","-123.91147922840872","3925","3925","3925","-232.87383307420413","-232.87383307420413","-232.87383307420413","3925","3925","3925","-1.4422139506403242","-1.4422139506403242","-1.4422139506403242"
"37600","3946","3946","3946","-288.7787861382632","-288.7787861382632","-288.7787861382632","3946","3946","3946","-1.126966452513839","-1.126966452513839","-1.126966452513839","3946","3946","3946","-115.654399495867","-115.654399495867","-115.654399495867","3946","3946","3946","-129.03461960979243","-129.03461960979243","-129.03461960979243","3946","3946","3946","-123.28540735338215","-123.28540735338215","-123.28540735338215"
"37800","3967","3967","3967","-226.4846411360142","-226.4846411360142","-226.4846411360142","3967","3967","3967","-125.15323674240794","-125.15323674240794","-125.15323674240794","3967","3967","3967","-121.40885099176684","-121.40885099176684","-121.40885099176684","3967","3967","3967","-126.53013573262471","-126.53013573262471","-126.53013573262471","3967","3967","3967","-123.15913676220045","-123.15913676220045","-123.15913676220045"
"38000","3988","3988","3988","-2.4989693293306945","-2.4989693293306945","-2.4989693293306945","3988","3988","3988","-120.25995917580644","-120.25995917580644","-120.25995917580644","3988","3988","3988","-2.4098424383920447","-2.4098424383920447","-2.4098424383920447","3988","3988","3988","-125.93435065599913","-125.93435065599913","-125.93435065599913","3988","3988","3988","-119.78694419577747","-119.78694419577747","-119.78694419577747"
"38200","4009","4009","4009","-302.65550405915917","-302.65550405915917","-302.65550405915917","4009","4009","4009","-122.67218355423297","-122.67218355423297","-122.67218355423297","4009","4009","4009","-116.71910164637893","-116.71910164637893","-116.71910164637893","4009","4009","4009","-122.34941279731432","-122.34941279731432","-122.34941279731432","4009","4009","4009","-120.84466502410521","-120.84466502410521","-120.84466502410521"
"38400","4030","4030","4030","-3.3126144625135563","-3.3126144625135563","-3.3126144625135563","4030","4030","4030","-120.19823217279787","-120.19823217279787","-120.19823217279787","4030","4030","4030","-221.48235769315818","-221.48235769315818","-221.48235769315818","4030","4030","4030","-0.33184368252701985","-0.33184368252701985","-0.33184368252701985","4030","4030","4030","-124.40046805367548","-124.40046805367548","-124.40046805367548"
"38600","4051","4051","4051","-363.86683313874306","-363.86683313874306","-363.86683313874306","4051","4051","4051","-125.24261896169787","-125.24261896169787","-125.24261896169787","4051","4051","4051","-0.48854380302017997","-0.48854380302017997","-0.48854380302017997","4051","4051","4051","-223.10074804043023","-223.10074804043023","-223.10074804043023","4051","4051","4051","-321.63298489279305","-321.63298489279305","-321.63298489279305"
